transaction_date,transaction_description,transaction_amount,bank_account_id
4/4/2023,Office Supplies Purchase,200.00,bankaccount1
4/5/2023,Consulting Services for Meta,-8000.00,bankaccount1
4/5/2023,Employee Health Insurance,1500.00,bankaccount1
4/5/2023,Professional Development Course,500.00,bankaccount1
4/6/2023,GPU Sale to Nvidia,-20000.00,bankaccount1
4/6/2023,Travel Expenses for Client Visit,1200.00,bankaccount1
4/6/2023,Software Subscription Renewal,400.00,bankaccount1
4/7/2023,Legal Services Fee,1000.00,bankaccount1
4/7/2023,Office Equipment Maintenance,300.00,bankaccount1
4/7/2023,Bank Service Charges,50.00,bankaccount1
4/8/2023,Consulting Services for Google,-10000.00,bankaccount1
4/8/2023,Employee Bonus Payment,2000.00,bankaccount1
4/8/2023,Cloud Storage Upgrade,600.00,bankaccount1
4/9/2023,Client Refund,1500.00,bankaccount1
4/9/2023,Office Cleaning Service,200.00,bankaccount1
4/9/2023,Telecommunication Expenses,150.00,bankaccount1
4/10/2023,GPU Sale to IBM,-18000.00,bankaccount1
4/10/2023,Tax Payment,5000.00,bankaccount1
4/10/2023,Team Building Event,800.00,bankaccount1
4/11/2023,Consulting Services for Apple,-12000.00,bankaccount1
4/11/2023,Server Maintenance Costs,1500.00,bankaccount1
4/11/2023,Office Furniture Purchase,2000.00,bankaccount1
4/12/2023,Software Development Tools,1000.00,bankaccount1
4/12/2023,Employee Training Program,1200.00,bankaccount1
4/12/2023,Client Entertainment Expenses,300.00,bankaccount1
4/13/2023,GPU Sale to Meta,-22000.00,bankaccount1
4/13/2023,Advertising Expenses,1500.00,bankaccount1
4/13/2023,Office Security System Upgrade,800.00,bankaccount1
4/14/2023,Consulting Services for Microsoft,-15000.00,bankaccount1
4/14/2023,Employee Transportation Allowance,500.00,bankaccount1
4/14/2023,Research and Development Costs,3000.00,bankaccount1
4/15/2023,Quarterly Tax Payment,8000.00,bankaccount1
4/15/2023,Office Lease Deposit,3000.00,bankaccount1
4/15/2023,Hardware Repair Costs,400.00,bankaccount1
4/16/2023,GPU Sale to Amazon,-25000.00,bankaccount1
4/16/2023,Employee Retirement Contribution,2000.00,bankaccount1
4/16/2023,Software License Purchase,1500.00,bankaccount1
4/17/2023,Consulting Services for Oracle,-9000.00,bankaccount1
4/17/2023,Office Renovation Expenses,5000.00,bankaccount1
4/17/2023,Data Center Cooling Costs,1000.00,bankaccount1
4/18/2023,Client Project Advance Payment,-5000.00,bankaccount1
4/18/2023,Employee Performance Bonus,1500.00,bankaccount1
4/18/2023,Cybersecurity Software Upgrade,800.00,bankaccount1
4/19/2023,GPU Sale to Tesla,-30000.00,bankaccount1
4/19/2023,Conference Registration Fees,1200.00,bankaccount1
4/19/2023,Office Plants and Maintenance,200.00,bankaccount1
4/20/2023,Consulting Services for Intel,-11000.00,bankaccount1
4/20/2023,Employee Health and Wellness Program,1000.00,bankaccount1
4/20/2023,Technical Documentation Expenses,300.00,bankaccount1
4/21/2023,GPU Sale to AMD,-17000.00,bankaccount1
4/21/2023,Professional Membership Fees,500.00,bankaccount1
4/21/2023,Office Snacks and Beverages,150.00,bankaccount1
4/22/2023,Consulting Services for Salesforce,-13000.00,bankaccount1
4/22/2023,Employee Education Reimbursement,2000.00,bankaccount1
4/22/2023,Cloud Security Services,1000.00,bankaccount1
4/23/2023,Patent Filing Fees,3000.00,bankaccount1
4/23/2023,Team Lunch Expenses,400.00,bankaccount1
4/23/2023,Office Equipment Leasing,600.00,bankaccount1
4/24/2023,GPU Sale to Qualcomm,-19000.00,bankaccount1
4/24/2023,Employee Relocation Expenses,5000.00,bankaccount1
4/24/2023,Software Testing Tools,800.00,bankaccount1
4/25/2023,Consulting Services for Adobe,-7000.00,bankaccount1
4/25/2023,Corporate Insurance Premium,2500.00,bankaccount1
4/25/2023,Network Infrastructure Upgrade,3000.00,bankaccount1
4/26/2023,Client Workshop Expenses,1500.00,bankaccount1
4/26/2023,Office Utilities Payment,400.00,bankaccount1
4/26/2023,Employee Recognition Awards,500.00,bankaccount1
4/27/2023,GPU Sale to Intel,-21000.00,bankaccount1
4/27/2023,Legal Consultation Fees,1000.00,bankaccount1
4/27/2023,Data Backup and Recovery Services,600.00,bankaccount1
4/28/2023,Consulting Services for Twitter,-6000.00,bankaccount1
4/28/2023,Employee Overtime Payment,1200.00,bankaccount1
4/28/2023,Office Parking Fees,200.00,bankaccount1
4/29/2023,GPU Sale to Microsoft,-23000.00,bankaccount1
4/29/2023,Business Travel Insurance,300.00,bankaccount1
4/29/2023,Software Localization Costs,1500.00,bankaccount1
4/30/2023,Consulting Services for LinkedIn,-8000.00,bankaccount1
4/30/2023,End-of-Month Accounting Services,1000.00,bankaccount1
4/30/2023,Office Maintenance and Repairs,500.00,bankaccount1
8/1/2023,GPU Sale to IBM,-15000.00,bankaccount1
8/1/2023,Office Rent Payment,2500.00,bankaccount1
8/1/2023,Internet Service Bill,150.00,bankaccount1
8/2/2023,Consulting Services for Google,-5000.00,bankaccount1
8/2/2023,Employee Payroll,7500.00,bankaccount1
8/2/2023,Software License Renewal,500.00,bankaccount1
8/3/2023,GPU Sale to Meta,-20000.00,bankaccount1
8/3/2023,Office Supplies Purchase,300.00,bankaccount1
8/3/2023,Cloud Storage Subscription,200.00,bankaccount1
8/4/2023,Consulting Services for Nvidia,-7500.00,bankaccount1
8/4/2023,Travel Expenses for Client Meeting,1000.00,bankaccount1
8/4/2023,Professional Development Course,800.00,bankaccount1
8/5/2023,Licensing Fee from Client,-3000.00,bankaccount1
8/5/2023,Utilities Payment,400.00,bankaccount1
8/5/2023,Marketing Campaign Expenses,1500.00,bankaccount1
8/6/2023,GPU Sale to Startup Client,-10000.00,bankaccount1
8/6/2023,Equipment Maintenance,600.00,bankaccount1
8/6/2023,Business Insurance Premium,1200.00,bankaccount1
8/7/2023,Consulting Workshop Revenue,-4000.00,bankaccount1
8/7/2023,Employee Health Insurance,2000.00,bankaccount1
8/7/2023,Office Cleaning Service,250.00,bankaccount1
8/8/2023,AI Model Licensing to Client,-6000.00,bankaccount1
8/8/2023,Server Upgrade Costs,3500.00,bankaccount1
8/8/2023,Legal Consultation Fees,1000.00,bankaccount1
8/9/2023,GPU Sale to Research Institution,-18000.00,bankaccount1
8/9/2023,Employee Training Program,1500.00,bankaccount1
8/9/2023,Telephone System Bill,180.00,bankaccount1
8/10/2023,Consulting Services for Startup,-3500.00,bankaccount1
8/10/2023,Office Furniture Purchase,2000.00,bankaccount1
8/10/2023,Industry Conference Registration,750.00,bankaccount1
8/11/2023,AI Software License Sale,-8000.00,bankaccount1
8/11/2023,Employee Bonuses,5000.00,bankaccount1
8/11/2023,Advertising Expenses,1200.00,bankaccount1
8/12/2023,GPU Sale to E-commerce Client,-12000.00,bankaccount1
8/12/2023,Coffee and Snacks for Office,150.00,bankaccount1
8/12/2023,Cybersecurity Software Subscription,400.00,bankaccount1
8/13/2023,Consulting Retainer from Client,-5500.00,bankaccount1
8/13/2023,Team Building Event,800.00,bankaccount1
8/13/2023,Office Plant Maintenance,100.00,bankaccount1
8/14/2023,AI Model Customization for Client,-9000.00,bankaccount1
8/14/2023,Employee Transportation Allowance,600.00,bankaccount1
8/14/2023,Professional Membership Dues,300.00,bankaccount1
8/15/2023,GPU Sale to Financial Institution,-25000.00,bankaccount1
8/15/2023,Mid-month Payroll,7500.00,bankaccount1
8/15/2023,Office Lease Deposit Return,-1000.00,bankaccount1
8/16/2023,Consulting Workshop for Tech Startup,-4500.00,bankaccount1
8/16/2023,Hardware Repair Costs,800.00,bankaccount1
8/16/2023,Business Meal with Client,200.00,bankaccount1
8/17/2023,AI Software Customization Revenue,-7000.00,bankaccount1
8/17/2023,Employee Wellness Program,500.00,bankaccount1
8/17/2023,Office Supply Restocking,250.00,bankaccount1
8/18/2023,GPU Sale to Healthcare Client,-14000.00,bankaccount1
8/18/2023,Cloud Computing Costs,1800.00,bankaccount1
8/18/2023,Professional Certification Fees,600.00,bankaccount1
8/19/2023,Consulting Services for Retail Client,-6500.00,bankaccount1
8/19/2023,Company Vehicle Maintenance,400.00,bankaccount1
8/19/2023,Industry Webinar Hosting Costs,300.00,bankaccount1
8/20/2023,AI Model Deployment Revenue,-8500.00,bankaccount1
8/20/2023,Office Equipment Lease Payment,700.00,bankaccount1
8/20/2023,Employee Parking Fees Reimbursement,200.00,bankaccount1
8/21/2023,GPU Sale to Gaming Company,-16000.00,bankaccount1
8/21/2023,Software Development Tools Subscription,450.00,bankaccount1
8/21/2023,Client Appreciation Gifts,300.00,bankaccount1
8/22/2023,Consulting Retainer from Tech Giant,-10000.00,bankaccount1
8/22/2023,Employee Performance Bonuses,4000.00,bankaccount1
8/22/2023,Office Renovation Costs,3000.00,bankaccount1
8/23/2023,AI Workshop Revenue,-5500.00,bankaccount1
8/23/2023,Technical Book Purchases for Library,400.00,bankaccount1
8/23/2023,Team Lunch Expense,250.00,bankaccount1
8/24/2023,GPU Sale to Education Sector Client,-13000.00,bankaccount1
8/24/2023,Internet Security Upgrade,1000.00,bankaccount1
8/24/2023,Office Water Delivery Service,80.00,bankaccount1
8/25/2023,Consulting Services for AI Startup,-4800.00,bankaccount1
8/25/2023,Employee Health and Wellness Stipend,1500.00,bankaccount1
8/25/2023,Business Travel Insurance,350.00,bankaccount1
8/26/2023,AI Model Fine-tuning Revenue,-7500.00,bankaccount1
8/26/2023,Office Air Conditioning Repair,600.00,bankaccount1
8/26/2023,Corporate Social Responsibility Initiative,1000.00,bankaccount1
8/27/2023,GPU Sale to Automotive Client,-19000.00,bankaccount1
8/27/2023,Employee Education Reimbursement,2000.00,bankaccount1
8/27/2023,Office Pest Control Service,150.00,bankaccount1
8/28/2023,Consulting Workshop for Non-profit,-3000.00,bankaccount1
8/28/2023,Software License Renewals,1200.00,bankaccount1
8/28/2023,Team Building Workshop Facilitator,800.00,bankaccount1
8/29/2023,AI Solution Implementation Revenue,-11000.00,bankaccount1
8/29/2023,Office Electricity Bill,450.00,bankaccount1
8/29/2023,Professional Networking Event Costs,300.00,bankaccount1
8/30/2023,GPU Sale to Government Agency,-22000.00,bankaccount1
8/30/2023,End-of-month Payroll,7500.00,bankaccount1
8/30/2023,Office Security System Upgrade,1500.00,bankaccount1
8/31/2023,Consulting Services Year-end Bonus,-15000.00,bankaccount1
8/31/2023,Annual Software Audit Costs,2000.00,bankaccount1
8/31/2023,Employee Recognition Awards,1000.00,bankaccount1
